"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YGL135W",1075.71094039798,1.72188005284763,0.434731823005747,3.96078676951345,7.47032190651458e-05,0.00855560842252523
"YMR062C",140.620928379895,-2.84451456347277,0.718632560067333,-3.95823223373882,7.55065252670855e-05,0.00855560842252523
"YLL008W",93.6030062151258,1.82370521603415,0.462688201677813,3.94154251053081,8.09592825987061e-05,0.00875648240652823
"YOR243C",68.0613215508865,1.9330436585976,0.490134158213641,3.94390724703383,8.01646741627395e-05,0.00875648240652823
"YDR060W",85.4898640268112,1.94362481912153,0.49458959879652,3.92977293467338,8.50261156808749e-05,0.00879650618533225
"YGR256W",55.7828146879381,-2.09828563510441,0.533352683540963,-3.93414282866969,8.34941253008936e-05,0.00879650618533225
"YGR245C",83.9573185391012,1.84020529372581,0.469988583279306,3.91542552137316,9.02449007732416e-05,0.00896539940298837
"YLR186W",48.8150919595466,2.04393885497946,0.522086782608774,3.91494081647934,9.04263860776301e-05,0.00896539940298837
"YGL156W",120.46010523779,-1.76229584278693,0.451670188326897,-3.90173159161762,9.55070258954497e-05,0.00927587624972337
"YPL043W",51.9142512639447,2.05355927385706,0.528447444874035,3.88602366001894,0.000101899579537268,0.00969880198035713
"YBL039C",79.4506569098778,1.94286513198475,0.500714118627506,3.88018843429118,0.000104375570149796,0.00973967330084079
"YDL021W",39.9316466319284,-2.18771425614166,0.569974617694766,-3.83826610558512,0.000123906162304191,0.0112306335618464
"YKL156W",126.710696734177,1.65805213167204,0.432238824642363,3.83596298422271,0.000125073246223547,0.0112306335618464
"YFR053C",3759.35322792641,-1.51427180617596,0.399772985001668,-3.78782925056741,0.00015196922693028,0.0133929916844667
"YDR502C",335.15945261138,-1.88214905589165,0.503939077212468,-3.73487419610865,0.000187809047809169,0.0135099665519739
"YHR029C",70.9740933715624,-2.46682481890691,0.658228383532151,-3.74767311866675,0.000178482645474484,0.0135099665519739
"YIR038C",66.8886514873391,-1.81776230806322,0.486575722345839,-3.73582615116836,0.000187099901558206,0.0135099665519739
"YKL103C",298.075809585249,-1.55630679323726,0.41374359678249,-3.76152478331992,0.000168880683949848,0.0135099665519739
"YKR076W",61.3363229594789,-1.82103507467987,0.487992363714005,-3.73168764531553,0.000190201252150084,0.0135099665519739
"YLR061W",589.628250572702,1.85445690041895,0.490782295691347,3.77857334443298,0.000157729398537793,0.0135099665519739
"YMR206W",43.9975458857108,-2.10238309651903,0.560932737538749,-3.74801282903157,0.00017824113957601,0.0135099665519739
"YNL112W",60.0281156990865,2.2317567400017,0.595944809932016,3.74490506974345,0.000180461998054072,0.0135099665519739
"YOL155C",858.74889562129,-2.21144016684444,0.586975327892311,-3.76751809106729,0.000164878595707997,0.0135099665519739
"YOR206W",80.2133452391423,1.82508943234749,0.485905547346413,3.75605802879698,0.000172610686712778,0.0135099665519739
"YOR310C",187.336762221062,1.60843865495351,0.428772465589915,3.75126386145292,0.000175945415187062,0.0135099665519739
"YPL198W",414.130765425217,1.64522051751945,0.439551148632178,3.74295579169604,0.000181868235309445,0.0135099665519739
