"","logFC","logCPM","PValue","FDR"
"YJL050W",1.57271576694005,6.83573857011171,5.36483063307826e-07,3.8340166318862e-05
"YHR197W",1.63737823074083,5.55484448105465,5.86114124663961e-07,4.13210457888092e-05
"YDL153C",1.63544933883084,7.09295578960888,6.70218507898614e-07,4.66203994094276e-05
"YNR034W-A",-1.84732311999856,8.28300058258328,6.84766699227088e-07,4.70056298666805e-05
"YKR093W",1.49326266351641,6.28513338189563,7.08078082834089e-07,4.79745890668239e-05
"YNL134C",-1.38437850162305,7.16417420032797,7.78342245618381e-07,5.20591217357833e-05
"YGL078C",1.70313039032499,6.95375316426407,8.45217258550084e-07,5.58164359222252e-05
"YGL120C",1.94122750610847,6.4606350453053,8.75631283142097e-07,5.7102105051904e-05
"YNL002C",1.36522453197842,6.69408682153582,9.36696956425322e-07,6.03302224897642e-05
"YPL171C",-2.62588858707504,5.55158739856591,9.79303676371214e-07,6.23052107271783e-05
"YPR112C",1.48134543503184,6.44229164031685,1.01269804659664e-06,6.36535627601766e-05
"YPL186C",-1.34212381656102,7.28771222313015,1.07423487329657e-06,6.67176587379547e-05
"YMR049C",1.71557432557125,6.96436285796498,1.09445791814032e-06,6.71739642228006e-05
"YPL266W",1.58048583965622,6.13144064884858,1.18007020337255e-06,7.1586351755751e-05
"YPL012W",1.81934972829025,6.27884126607416,1.32083701845046e-06,7.86552628506503e-05
"YBR142W",1.60547755443145,6.69339426556845,1.32675160645145e-06,7.86552628506503e-05
"YLR356W",-1.64945639807624,5.79583469480606,1.48084091565011e-06,8.68038995162543e-05
"YPL226W",1.33486813992826,7.37768752726158,1.63739594871303e-06,9.49143851603985e-05
"YJR096W",-1.6442052111793,7.68001038705312,1.68442667174618e-06,9.65676257857123e-05
"YML042W",-1.57644381575947,6.34368239648672,1.75329426588388e-06,9.86503037852017e-05
"YLR080W",-1.67890082266319,5.46397086370078,1.76773847768477e-06,9.86503037852017e-05
"YLR401C",1.48641526157668,6.18172529993481,1.77748295108471e-06,9.86503037852017e-05
"YGR145W",1.41315162498713,6.70074246484492,1.94730465847179e-06,0.000105995064737759
"YOR310C",1.60733002642183,7.97156926564049,1.95045547533541e-06,0.000105995064737759
"YLR409C",1.89839457258382,6.38712779461109,2.07357847457732e-06,0.000111524318575978
"YGR200C",1.43363248257556,6.77105487466336,2.20891175066618e-06,0.000117590740849239
"YLR196W",1.64276215954194,6.95276971034702,2.24858375414801e-06,0.000118493549953436
"YPL263C",1.35070414842828,6.78107155009463,2.28227200161065e-06,0.000119066130324028
"YBR285W",-2.01254490188925,5.01214119581432,2.39138515607788e-06,0.000123523330289686
"YMR173W",-1.84498196046799,8.94858729780895,2.47676990977284e-06,0.000126679496267499
"YCL059C",1.30649457731443,6.45430809092555,2.6661275060415e-06,0.000135040652417656
"YHR138C",-1.52407179789124,6.03900186301656,2.93065330463983e-06,0.000147011714329865
"YPL211W",2.06552635876441,5.29061708460998,3.02869247185207e-06,0.000150482748815736
"YDL182W",-2.18273956570346,8.41243411923085,3.08887333524958e-06,0.000151115456844412
"YOR185C",-1.43381961608185,6.93852187154704,3.0993586126801e-06,0.000151115456844412
"YCL054W",1.65278514880083,6.42650184187904,3.20227387346097e-06,0.000154687618498573
"YPL093W",1.6531272823394,6.55714731517218,3.3072653609863e-06,0.000158293609066656
"YER069W",-1.39568398377363,7.64463857662571,3.60710083128346e-06,0.000171074954880053
"YIL088C",-1.23457436720667,7.31526472725103,3.64788705065776e-06,0.000171450691380915
"YGR123C",1.54106063822512,5.93730356675927,3.69719919411264e-06,0.000172216858890051
"YAL008W",-1.31215827524244,6.21370172903813,4.08923516960047e-06,0.000188792388316864
"YOR173W",-1.69165180594726,8.6786056804291,4.27996394339283e-06,0.000195864665725267
"YOR294W",1.77728053394789,5.43650374806542,4.35223114688804e-06,0.000197439912115782
"YPL126W",1.48721394099473,6.55749808641904,4.80553339267545e-06,0.000216124721634378
"YOR289W",-1.43448039953378,6.22319119455571,5.00795926196487e-06,0.000223303619398895
"YKL191W",1.27528524357663,6.84531380358542,5.17025874878622e-06,0.000228586778749303
"YMR194W",1.85592776600305,8.06968949897291,5.66200763136838e-06,0.000248224317755032
"YLR222C",2.17774774882757,5.60969352530725,5.79655377174041e-06,0.000252005175226415
"YPR137W",1.47300655682646,5.51400764822593,6.09746090625504e-06,0.000262896310313492
"YPR030W",-1.6213729736498,7.71385294729078,6.39014438612194e-06,0.000273257239855723
"YMR169C",-1.55750121246991,7.0703738753184,7.10647368590924e-06,0.000301418481458443
"YKL082C",1.32160137539437,6.62258000922674,7.72701153452704e-06,0.00032509531593248
"YDL208W",1.54999958076174,6.84108799226609,7.94209525965798e-06,0.000331471287757085
"YML022W",1.49082544153923,6.47802221557939,8.12633273265439e-06,0.000336468871954428
"YNR050C",-2.2887221647553,9.30622426778423,9.12014319600606e-06,0.000374643992547745
"YMR308C",1.35849870149944,7.92725536386417,9.97066041399109e-06,0.000406382307654621
"YJL137C",-1.52515366294826,5.72619742852115,1.01160028139005e-05,0.000409109974264489
"YNL301C",1.4398787011012,7.21842169002701,1.05762371678645e-05,0.000421278674312513
"YBR154C",1.28171685020688,6.40178070712676,1.05783987607704e-05,0.000421278674312513
"YEL026W",1.85848325000844,6.49314574772375,1.10787331698426e-05,0.000437861749599007
"YDR083W",1.49744851053128,5.70560370024993,1.12348449080217e-05,0.00044069312695601
"YMR014W",1.60549735419022,5.68181323159232,1.1392340114753e-05,0.000443536107303479
"YJL033W",1.68756621927132,6.23158300282552,1.36339473046407e-05,0.000526876319172669
"YNR015W",1.51391917089199,6.19460991609838,1.41065098681921e-05,0.000541129867517338
"YJL148W",1.6318600797907,5.91430696444831,1.44907528632808e-05,0.00055181209991048
"YDR324C",1.75687984880464,5.8548855951068,1.62916805322865e-05,0.000613186333488751
"YJL109C",1.31096757678607,7.29431170851075,1.6337531216204e-05,0.000613186333488751
"YBR172C",1.20067005907295,6.61236132710915,1.73966876688592e-05,0.000644520602520089
"YDR059C",-1.55672686864703,5.22274212177785,1.74194757437862e-05,0.000644520602520089
"YLR405W",1.48871711183621,5.45148856865309,1.88378322892065e-05,0.000692091345442186
"YNL274C",-1.8098412011534,8.45654897471167,1.90582494519185e-05,0.000695292918815795
"YOR215C",-1.12204562791806,6.77817218753728,1.92430446126674e-05,0.00069715947044643
"YFL030W",-1.55326583123603,6.52348157608081,1.95762479220736e-05,0.000704339899375571
"YCL033C",-1.35872691337877,5.57088842637368,2.04232981507857e-05,0.000727310661375671
"YJR002W",1.26655907840222,6.86811555951192,2.04935148978769e-05,0.000727310661375671
"YCR051W",1.31371224109281,6.6350104164148,2.12837909607048e-05,0.000750253631364843
"YKL009W",1.51343206378047,6.31444411757723,2.16707082851088e-05,0.000758765671969214
"YLL034C",2.01287669212375,5.46568167073293,2.35343978161867e-05,0.000818526356046972
"YMR070W",1.26178771761843,6.76681349108858,2.42482333631287e-05,0.00083776843347975
"YJL052W",-1.81630824018106,10.1469666206495,2.48370905188501e-05,0.000852121643905538
"YPL217C",1.22498563852283,7.43252780926044,2.49903414831411e-05,0.000852121643905538
"YDL222C",-2.18876649989022,6.30574686033041,2.57411697631473e-05,0.000872023913339868
"YHR065C",1.43758978842007,6.27906293466709,2.65105445161058e-05,0.000892293617680801
"YDL150W",1.40793994996616,5.98319725587919,2.7380242716825e-05,0.00091565850162613
"YCR057C",1.37710780012796,5.65518909308954,2.75782643923903e-05,0.000916406403408282
"YNL062C",1.52448879125477,5.54552089160733,2.79910758617542e-05,0.000924236979561846
"YLR074C",1.26195551457212,6.36222680458663,2.82068926247761e-05,0.000925505401405391
